,Action,value,Genotype,Age,Cage,Sex,timepoint
"(4192216, 'Male', '13 weeks', 'Climbing')",Climbing,94.512,Rbmb6 HD:WT,13 weeks,4192216,Male,day_one
"(4192216, 'Male', '13 weeks', 'distance (mm)')",Distance,5586.249011,Rbmb6 HD:WT,13 weeks,4192216,Male,day_one
"(4192216, 'Male', '15-16 weeks', 'Climbing')",Climbing,70.384,Rbmb6 HD:WT,15-16 weeks,4192216,Male,day_one
"(4192216, 'Male', '15-16 weeks', 'distance (mm)')",Distance,9400.676025,Rbmb6 HD:WT,15-16 weeks,4192216,Male,day_one
"(4192216, 'Male', '8 weeks', 'Climbing')",Climbing,14.952,Rbmb6 HD:WT,8 weeks,4192216,Male,day_one
"(4192216, 'Male', '8 weeks', 'distance (mm)')",Distance,3657.077798,Rbmb6 HD:WT,8 weeks,4192216,Male,day_one
"(4200742, 'Male', '13 weeks', 'Climbing')",Climbing,1.104,Rbmb6 HD:Het,13 weeks,4200742,Male,day_one
"(4200742, 'Male', '13 weeks', 'distance (mm)')",Distance,4580.601306,Rbmb6 HD:Het,13 weeks,4200742,Male,day_one
"(4200742, 'Male', '8 weeks', 'Climbing')",Climbing,1.584,Rbmb6 HD:Het,8 weeks,4200742,Male,day_one
"(4200742, 'Male', '8 weeks', 'distance (mm)')",Distance,1464.680286,Rbmb6 HD:Het,8 weeks,4200742,Male,day_one
"(4247842, 'Female', '13 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,13 weeks,4247842,Female,day_one
"(4247842, 'Female', '13 weeks', 'distance (mm)')",Distance,1749.263687,Rbmb6 HD:Het,13 weeks,4247842,Female,day_one
"(4249098, 'Female', '13 weeks', 'Climbing')",Climbing,0.096,Rbmb6 HD:Het,13 weeks,4249098,Female,day_one
"(4249098, 'Female', '13 weeks', 'distance (mm)')",Distance,1164.290749,Rbmb6 HD:Het,13 weeks,4249098,Female,day_one
"(4249098, 'Female', '8 weeks', 'Climbing')",Climbing,3.6,Rbmb6 HD:Het,8 weeks,4249098,Female,day_one
"(4249098, 'Female', '8 weeks', 'distance (mm)')",Distance,6281.016596,Rbmb6 HD:Het,8 weeks,4249098,Female,day_one
"(4259251, 'Female', '13 weeks', 'Climbing')",Climbing,107.36,Rbmb6 HD:WT,13 weeks,4259251,Female,day_one
"(4259251, 'Female', '13 weeks', 'distance (mm)')",Distance,9412.664893,Rbmb6 HD:WT,13 weeks,4259251,Female,day_one
"(4259251, 'Female', '8 weeks', 'Climbing')",Climbing,48.816,Rbmb6 HD:WT,8 weeks,4259251,Female,day_one
"(4259251, 'Female', '8 weeks', 'distance (mm)')",Distance,9775.109863,Rbmb6 HD:WT,8 weeks,4259251,Female,day_one
"(4260354, 'Female', '13 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,13 weeks,4260354,Female,day_one
"(4260354, 'Female', '13 weeks', 'distance (mm)')",Distance,476.8852775,Rbmb6 HD:Het,13 weeks,4260354,Female,day_one
"(4260354, 'Female', '8 weeks', 'Climbing')",Climbing,1.872,Rbmb6 HD:Het,8 weeks,4260354,Female,day_one
"(4260354, 'Female', '8 weeks', 'distance (mm)')",Distance,2474.034423,Rbmb6 HD:Het,8 weeks,4260354,Female,day_one
"(4277842, 'Female', '8 weeks', 'Climbing')",Climbing,7.008,Rbmb6 HD:Het,8 weeks,4277842,Female,day_one
"(4277842, 'Female', '8 weeks', 'distance (mm)')",Distance,3881.514811,Rbmb6 HD:Het,8 weeks,4277842,Female,day_one
"(4281948, 'Female', '13 weeks', 'Climbing')",Climbing,67.368,Rbmb6 HD:WT,13 weeks,4281948,Female,day_one
"(4281948, 'Female', '13 weeks', 'distance (mm)')",Distance,11801.43882,Rbmb6 HD:WT,13 weeks,4281948,Female,day_one
"(4283161, 'Male', '13 weeks', 'Climbing')",Climbing,13.768,Rbmb6 HD:WT,13 weeks,4283161,Male,day_one
"(4283161, 'Male', '13 weeks', 'distance (mm)')",Distance,7687.140857,Rbmb6 HD:WT,13 weeks,4283161,Male,day_one
"(4283161, 'Male', '15-16 weeks', 'Climbing')",Climbing,9.072,Rbmb6 HD:WT,15-16 weeks,4283161,Male,day_one
"(4283161, 'Male', '15-16 weeks', 'distance (mm)')",Distance,2141.842355,Rbmb6 HD:WT,15-16 weeks,4283161,Male,day_one
"(4283161, 'Male', '8 weeks', 'Climbing')",Climbing,25.056,Rbmb6 HD:WT,8 weeks,4283161,Male,day_one
"(4283161, 'Male', '8 weeks', 'distance (mm)')",Distance,8972.229224,Rbmb6 HD:WT,8 weeks,4283161,Male,day_one
"(4283163, 'Male', '13 weeks', 'Climbing')",Climbing,14.47648,Rbmb6 HD:WT,13 weeks,4283163,Male,day_one
"(4283163, 'Male', '13 weeks', 'distance (mm)')",Distance,492.1303268,Rbmb6 HD:WT,13 weeks,4283163,Male,day_one
"(4283163, 'Male', '15-16 weeks', 'Climbing')",Climbing,2.448,Rbmb6 HD:WT,15-16 weeks,4283163,Male,day_one
"(4283163, 'Male', '15-16 weeks', 'distance (mm)')",Distance,1705.92414,Rbmb6 HD:WT,15-16 weeks,4283163,Male,day_one
"(4283163, 'Male', '8 weeks', 'Climbing')",Climbing,1.104,Rbmb6 HD:WT,8 weeks,4283163,Male,day_one
"(4283163, 'Male', '8 weeks', 'distance (mm)')",Distance,40.00009346,Rbmb6 HD:WT,8 weeks,4283163,Male,day_one
"(4283183, 'Female', '13 weeks', 'Climbing')",Climbing,38.304,Rbmb6 HD:Het,13 weeks,4283183,Female,day_one
"(4283183, 'Female', '13 weeks', 'distance (mm)')",Distance,7309.326962,Rbmb6 HD:Het,13 weeks,4283183,Female,day_one
"(4283183, 'Female', '15-16 weeks', 'Climbing')",Climbing,0,Rbmb6 HD:Het,15-16 weeks,4283183,Female,day_one
"(4283183, 'Female', '15-16 weeks', 'distance (mm)')",Distance,50.00000764,Rbmb6 HD:Het,15-16 weeks,4283183,Female,day_one
"(4283183, 'Female', '8 weeks', 'Climbing')",Climbing,6.528,Rbmb6 HD:Het,8 weeks,4283183,Female,day_one
"(4283183, 'Female', '8 weeks', 'distance (mm)')",Distance,3828.183925,Rbmb6 HD:Het,8 weeks,4283183,Female,day_one
"(4284198, 'Female', '15-16 weeks', 'Climbing')",Climbing,76.616,Rbmb6 HD:WT,15-16 weeks,4284198,Female,day_one
"(4284198, 'Female', '15-16 weeks', 'distance (mm)')",Distance,12079.00317,Rbmb6 HD:WT,15-16 weeks,4284198,Female,day_one
"(4284198, 'Female', '8 weeks', 'Climbing')",Climbing,118.8,Rbmb6 HD:WT,8 weeks,4284198,Female,day_one
"(4284198, 'Female', '8 weeks', 'distance (mm)')",Distance,8278.535669,Rbmb6 HD:WT,8 weeks,4284198,Female,day_one
"(4284608, 'Female', '8 weeks', 'Climbing')",Climbing,6.768,Rbmb6 HD:Het,8 weeks,4284608,Female,day_one
"(4284608, 'Female', '8 weeks', 'distance (mm)')",Distance,1467.648649,Rbmb6 HD:Het,8 weeks,4284608,Female,day_one
"(4284627, 'Female', '8 weeks', 'Climbing')",Climbing,24.288,Rbmb6 HD:Het,8 weeks,4284627,Female,day_one
"(4284627, 'Female', '8 weeks', 'distance (mm)')",Distance,4841.324985,Rbmb6 HD:Het,8 weeks,4284627,Female,day_one
"(4300729, 'Male', '13 weeks', 'Climbing')",Climbing,28.992,Rbmb6 HD:WT,13 weeks,4300729,Male,day_one
"(4300729, 'Male', '13 weeks', 'distance (mm)')",Distance,6152.432691,Rbmb6 HD:WT,13 weeks,4300729,Male,day_one
"(4300729, 'Male', '15-16 weeks', 'Climbing')",Climbing,17.136,Rbmb6 HD:WT,15-16 weeks,4300729,Male,day_one
"(4300729, 'Male', '15-16 weeks', 'distance (mm)')",Distance,8540.406531,Rbmb6 HD:WT,15-16 weeks,4300729,Male,day_one
"(4300729, 'Male', '8 weeks', 'Climbing')",Climbing,32.928,Rbmb6 HD:WT,8 weeks,4300729,Male,day_one
