,Action,value,Genotype,Age,Cage,Sex,timepoint
"(4192216, 'Male', '13 weeks', 'Climbing')",Climbing,132.24,Rbmb6 HD:WT,13 weeks,4192216,Male,day_one
"(4192216, 'Male', '13 weeks', 'distance (mm)')",Distance,7537.259216,Rbmb6 HD:WT,13 weeks,4192216,Male,day_one
"(4192216, 'Male', '15-16 weeks', 'Climbing')",Climbing,124.224,Rbmb6 HD:WT,15-16 weeks,4192216,Male,day_one
"(4192216, 'Male', '15-16 weeks', 'distance (mm)')",Distance,9197.204468,Rbmb6 HD:WT,15-16 weeks,4192216,Male,day_one
"(4192216, 'Male', '8 weeks', 'Climbing')",Climbing,82.344,Rbmb6 HD:WT,8 weeks,4192216,Male,day_one
"(4192216, 'Male', '8 weeks', 'distance (mm)')",Distance,9825.03872,Rbmb6 HD:WT,8 weeks,4192216,Male,day_one
"(4200742, 'Male', '13 weeks', 'Climbing')",Climbing,20.64,Rbmb6 HD:Het,13 weeks,4200742,Male,day_one
"(4200742, 'Male', '13 weeks', 'distance (mm)')",Distance,8687.821289,Rbmb6 HD:Het,13 weeks,4200742,Male,day_one
"(4200742, 'Male', '8 weeks', 'Climbing')",Climbing,171.216,Rbmb6 HD:Het,8 weeks,4200742,Male,day_one
"(4200742, 'Male', '8 weeks', 'distance (mm)')",Distance,10590.59221,Rbmb6 HD:Het,8 weeks,4200742,Male,day_one
"(4247842, 'Female', '13 weeks', 'Climbing')",Climbing,148.896,Rbmb6 HD:Het,13 weeks,4247842,Female,day_one
"(4247842, 'Female', '13 weeks', 'distance (mm)')",Distance,7689.477077,Rbmb6 HD:Het,13 weeks,4247842,Female,day_one
"(4249098, 'Female', '13 weeks', 'Climbing')",Climbing,19.632,Rbmb6 HD:Het,13 weeks,4249098,Female,day_one
"(4249098, 'Female', '13 weeks', 'distance (mm)')",Distance,7812.978174,Rbmb6 HD:Het,13 weeks,4249098,Female,day_one
"(4249098, 'Female', '8 weeks', 'Climbing')",Climbing,88.128,Rbmb6 HD:Het,8 weeks,4249098,Female,day_one
"(4249098, 'Female', '8 weeks', 'distance (mm)')",Distance,11751.15028,Rbmb6 HD:Het,8 weeks,4249098,Female,day_one
"(4259251, 'Female', '13 weeks', 'Climbing')",Climbing,230.048,Rbmb6 HD:WT,13 weeks,4259251,Female,day_one
"(4259251, 'Female', '13 weeks', 'distance (mm)')",Distance,8748.212756,Rbmb6 HD:WT,13 weeks,4259251,Female,day_one
"(4259251, 'Female', '8 weeks', 'Climbing')",Climbing,99.936,Rbmb6 HD:WT,8 weeks,4259251,Female,day_one
"(4259251, 'Female', '8 weeks', 'distance (mm)')",Distance,10911.68313,Rbmb6 HD:WT,8 weeks,4259251,Female,day_one
"(4260354, 'Female', '13 weeks', 'Climbing')",Climbing,195.168,Rbmb6 HD:Het,13 weeks,4260354,Female,day_one
"(4260354, 'Female', '13 weeks', 'distance (mm)')",Distance,16281.46211,Rbmb6 HD:Het,13 weeks,4260354,Female,day_one
"(4260354, 'Female', '8 weeks', 'Climbing')",Climbing,96.168,Rbmb6 HD:Het,8 weeks,4260354,Female,day_one
"(4260354, 'Female', '8 weeks', 'distance (mm)')",Distance,9671.403028,Rbmb6 HD:Het,8 weeks,4260354,Female,day_one
"(4277842, 'Female', '8 weeks', 'Climbing')",Climbing,184.272,Rbmb6 HD:Het,8 weeks,4277842,Female,day_one
"(4277842, 'Female', '8 weeks', 'distance (mm)')",Distance,8893.593487,Rbmb6 HD:Het,8 weeks,4277842,Female,day_one
"(4281948, 'Female', '13 weeks', 'Climbing')",Climbing,118.804,Rbmb6 HD:WT,13 weeks,4281948,Female,day_one
"(4281948, 'Female', '13 weeks', 'distance (mm)')",Distance,11963.24586,Rbmb6 HD:WT,13 weeks,4281948,Female,day_one
"(4283161, 'Male', '13 weeks', 'Climbing')",Climbing,37.296,Rbmb6 HD:WT,13 weeks,4283161,Male,day_one
