,Action,value,Genotype,Age,Cage,Period,Sex,timepoint
"(4186074, 'Climbing', 'Dark', '12 months')",Climbing,21.775,C57BL6/J,12 months,4186074,Dark,Male,day_one
"(4186074, 'Climbing', 'Dark', '3 months')",Climbing,5.98,C57BL6/J,3 months,4186074,Dark,Male,day_one
"(4186074, 'Climbing', 'Dark', '7 months')",Climbing,4.304,C57BL6/J,7 months,4186074,Dark,Male,day_one
"(4186074, 'Climbing', 'Light', '12 months')",Climbing,10.95272727,C57BL6/J,12 months,4186074,Light,Male,day_one
"(4186074, 'Climbing', 'Light', '3 months')",Climbing,3.080727273,C57BL6/J,3 months,4186074,Light,Male,day_one
"(4186074, 'Climbing', 'Light', '7 months')",Climbing,1.505454545,C57BL6/J,7 months,4186074,Light,Male,day_one
"(4186074, 'distance (mm)', 'Dark', '12 months')",Distance,3311.554632,C57BL6/J,12 months,4186074,Dark,Male,day_one
"(4186074, 'distance (mm)', 'Dark', '3 months')",Distance,3345.624288,C57BL6/J,3 months,4186074,Dark,Male,day_one
"(4186074, 'distance (mm)', 'Dark', '7 months')",Distance,4114.016037,C57BL6/J,7 months,4186074,Dark,Male,day_one
"(4186074, 'distance (mm)', 'Light', '12 months')",Distance,1164.639881,C57BL6/J,12 months,4186074,Light,Male,day_one
"(4186074, 'distance (mm)', 'Light', '3 months')",Distance,1478.739895,C57BL6/J,3 months,4186074,Light,Male,day_one
"(4186074, 'distance (mm)', 'Light', '7 months')",Distance,1999.997746,C57BL6/J,7 months,4186074,Light,Male,day_one
"(4186084, 'Climbing', 'Dark', '12 months')",Climbing,14.106,C57BL6/J,12 months,4186084,Dark,Male,day_one
"(4186084, 'Climbing', 'Dark', '3 months')",Climbing,5.39,C57BL6/J,3 months,4186084,Dark,Male,day_one
"(4186084, 'Climbing', 'Dark', '7 months')",Climbing,8.644,C57BL6/J,7 months,4186084,Dark,Male,day_one
"(4186084, 'Climbing', 'Light', '12 months')",Climbing,1.913454545,C57BL6/J,12 months,4186084,Light,Male,day_one
"(4186084, 'Climbing', 'Light', '3 months')",Climbing,1.656,C57BL6/J,3 months,4186084,Light,Male,day_one
"(4186084, 'Climbing', 'Light', '7 months')",Climbing,2.059636364,C57BL6/J,7 months,4186084,Light,Male,day_one
"(4186084, 'distance (mm)', 'Dark', '12 months')",Distance,3030.880119,C57BL6/J,12 months,4186084,Dark,Male,day_one
"(4186084, 'distance (mm)', 'Dark', '3 months')",Distance,2479.091471,C57BL6/J,3 months,4186084,Dark,Male,day_one
"(4186084, 'distance (mm)', 'Dark', '7 months')",Distance,3830.846222,C57BL6/J,7 months,4186084,Dark,Male,day_one
"(4186084, 'distance (mm)', 'Light', '12 months')",Distance,1131.462848,C57BL6/J,12 months,4186084,Light,Male,day_one
"(4186084, 'distance (mm)', 'Light', '3 months')",Distance,1962.598126,C57BL6/J,3 months,4186084,Light,Male,day_one
"(4186084, 'distance (mm)', 'Light', '7 months')",Distance,1839.403804,C57BL6/J,7 months,4186084,Light,Male,day_one
"(4187459, 'Climbing', 'Dark', '12 months')",Climbing,1.91,C57BL6/J,12 months,4187459,Dark,Male,day_one
"(4187459, 'Climbing', 'Dark', '3 months')",Climbing,14.282,C57BL6/J,3 months,4187459,Dark,Male,day_one
"(4187459, 'Climbing', 'Dark', '7 months')",Climbing,5.778,C57BL6/J,7 months,4187459,Dark,Male,day_one
"(4187459, 'Climbing', 'Light', '12 months')",Climbing,1.136727273,C57BL6/J,12 months,4187459,Light,Male,day_one
"(4187459, 'Climbing', 'Light', '3 months')",Climbing,0.130909091,C57BL6/J,3 months,4187459,Light,Male,day_one
"(4187459, 'Climbing', 'Light', '7 months')",Climbing,0.194181818,C57BL6/J,7 months,4187459,Light,Male,day_one
"(4187459, 'distance (mm)', 'Dark', '12 months')",Distance,2209.752853,C57BL6/J,12 months,4187459,Dark,Male,day_one
"(4187459, 'distance (mm)', 'Dark', '3 months')",Distance,2796.722856,C57BL6/J,3 months,4187459,Dark,Male,day_one
"(4187459, 'distance (mm)', 'Dark', '7 months')",Distance,2189.237317,C57BL6/J,7 months,4187459,Dark,Male,day_one
"(4187459, 'distance (mm)', 'Light', '12 months')",Distance,1105.24482,C57BL6/J,12 months,4187459,Light,Male,day_one
"(4187459, 'distance (mm)', 'Light', '3 months')",Distance,805.6433528,C57BL6/J,3 months,4187459,Light,Male,day_one
"(4187459, 'distance (mm)', 'Light', '7 months')",Distance,795.6884787,C57BL6/J,7 months,4187459,Light,Male,day_one
"(4187463, 'Climbing', 'Dark', '12 months')",Climbing,8.6,C57BL6/J,12 months,4187463,Dark,Male,day_one
"(4187463, 'Climbing', 'Dark', '3 months')",Climbing,26.432,C57BL6/J,3 months,4187463,Dark,Male,day_one
"(4187463, 'Climbing', 'Dark', '7 months')",Climbing,22.1,C57BL6/J,7 months,4187463,Dark,Male,day_one
"(4187463, 'Climbing', 'Light', '12 months')",Climbing,0.349090909,C57BL6/J,12 months,4187463,Light,Male,day_one
"(4187463, 'Climbing', 'Light', '3 months')",Climbing,7.981090909,C57BL6/J,3 months,4187463,Light,Male,day_one
"(4187463, 'Climbing', 'Light', '7 months')",Climbing,14.63345455,C57BL6/J,7 months,4187463,Light,Male,day_one
"(4187463, 'distance (mm)', 'Dark', '12 months')",Distance,2605.23505,C57BL6/J,12 months,4187463,Dark,Male,day_one
"(4187463, 'distance (mm)', 'Dark', '3 months')",Distance,4019.973663,C57BL6/J,3 months,4187463,Dark,Male,day_one
"(4187463, 'distance (mm)', 'Dark', '7 months')",Distance,3303.12225,C57BL6/J,7 months,4187463,Dark,Male,day_one
"(4187463, 'distance (mm)', 'Light', '12 months')",Distance,1132.856437,C57BL6/J,12 months,4187463,Light,Male,day_one
"(4187463, 'distance (mm)', 'Light', '3 months')",Distance,2107.725164,C57BL6/J,3 months,4187463,Light,Male,day_one
"(4187463, 'distance (mm)', 'Light', '7 months')",Distance,1389.701154,C57BL6/J,7 months,4187463,Light,Male,day_one
"(4188123, 'Climbing', 'Dark', '12 months')",Climbing,16.804,C57BL6/J,12 months,4188123,Dark,Male,day_one
"(4188123, 'Climbing', 'Dark', '3 months')",Climbing,7.258,C57BL6/J,3 months,4188123,Dark,Male,day_one
"(4188123, 'Climbing', 'Dark', '7 months')",Climbing,10.458,C57BL6/J,7 months,4188123,Dark,Male,day_one
"(4188123, 'Climbing', 'Light', '12 months')",Climbing,1.693090909,C57BL6/J,12 months,4188123,Light,Male,day_one
"(4188123, 'Climbing', 'Light', '3 months')",Climbing,0.881454545,C57BL6/J,3 months,4188123,Light,Male,day_one
"(4188123, 'Climbing', 'Light', '7 months')",Climbing,5.208,C57BL6/J,7 months,4188123,Light,Male,day_one
"(4188123, 'distance (mm)', 'Dark', '12 months')",Distance,1620.291978,C57BL6/J,12 months,4188123,Dark,Male,day_one
"(4188123, 'distance (mm)', 'Dark', '3 months')",Distance,2973.40902,C57BL6/J,3 months,4188123,Dark,Male,day_one
"(4188123, 'distance (mm)', 'Dark', '7 months')",Distance,2631.238256,C57BL6/J,7 months,4188123,Dark,Male,day_one
"(4188123, 'distance (mm)', 'Light', '12 months')",Distance,839.0080395,C57BL6/J,12 months,4188123,Light,Male,day_one
"(4188123, 'distance (mm)', 'Light', '3 months')",Distance,1171.573668,C57BL6/J,3 months,4188123,Light,Male,day_one
"(4188123, 'distance (mm)', 'Light', '7 months')",Distance,928.7553881,C57BL6/J,7 months,4188123,Light,Male,day_one
"(4193912, 'Climbing', 'Dark', '12 months')",Climbing,6.512,C57BL6/J,12 months,4193912,Dark,Male,day_one
"(4193912, 'Climbing', 'Dark', '3 months')",Climbing,58.16033333,C57BL6/J,3 months,4193912,Dark,Male,day_one
"(4193912, 'Climbing', 'Light', '12 months')",Climbing,4.267636364,C57BL6/J,12 months,4193912,Light,Male,day_one
"(4193912, 'Climbing', 'Light', '3 months')",Climbing,26.70509091,C57BL6/J,3 months,4193912,Light,Male,day_one
"(4193912, 'distance (mm)', 'Dark', '12 months')",Distance,1515.491676,C57BL6/J,12 months,4193912,Dark,Male,day_one
"(4193912, 'distance (mm)', 'Dark', '3 months')",Distance,4079.118594,C57BL6/J,3 months,4193912,Dark,Male,day_one
"(4193912, 'distance (mm)', 'Light', '12 months')",Distance,1122.187741,C57BL6/J,12 months,4193912,Light,Male,day_one
"(4193912, 'distance (mm)', 'Light', '3 months')",Distance,966.9580642,C57BL6/J,3 months,4193912,Light,Male,day_one
"(4240953, 'Climbing', 'Dark', '12 months')",Climbing,10.8,C57BL6/J,12 months,4240953,Dark,Female,day_one
"(4240953, 'Climbing', 'Dark', '3 months')",Climbing,35.464,C57BL6/J,3 months,4240953,Dark,Female,day_one
"(4240953, 'Climbing', 'Dark', '7 months')",Climbing,105.322,C57BL6/J,7 months,4240953,Dark,Female,day_one
"(4240953, 'Climbing', 'Light', '12 months')",Climbing,2.16,C57BL6/J,12 months,4240953,Light,Female,day_one
